0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
73.534,174.984,34.784,151.934,136.917,108.483,103.882,150.117,82.334,87.351,80.55,69.166,54.083,52.183,1360.302
,,,,,,,,,,,,,,
"[0, 45, 53, 49, 28, 15, 0]","[0, 47, 33, 40, 61, 62, 6, 27, 0]","[0, 17, 0]","[0, 12, 5, 20, 13, 0]","[0, 42, 34, 44, 50, 0]","[0, 55, 0]","[0, 59, 22, 18, 30, 3, 0]","[0, 63, 8, 21, 0]","[0, 26, 67, 57, 66, 19, 31, 0]","[0, 32, 14, 54, 64, 0]","[0, 58, 29, 4, 52, 0]","[0, 51, 39, 0]","[0, 9, 16, 37, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
75.884,156.517,34.784,125.516,136.599,108.483,92.3,150.117,95.983,95.017,85.85,69.166,54.883,52.833,1333.932
,,,,,,,,,,,,,,
"[0, 15, 49, 53, 28, 45, 0]","[0, 61, 47, 6, 27, 62, 40, 33, 0]","[0, 17, 0]","[0, 13, 20, 12, 5, 0]","[0, 44, 34, 42, 50, 0]","[0, 55, 0]","[0, 22, 3, 59, 30, 18, 0]","[0, 63, 8, 21, 0]","[0, 57, 19, 26, 66, 31, 67, 0]","[0, 54, 64, 14, 32, 0]","[0, 4, 58, 52, 29, 0]","[0, 51, 39, 0]","[0, 37, 9, 16, 0]","[0, 69, 35, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
77.417,146.633,34.784,123.784,134.85,108.483,93.082,141.384,69.701,92.35,84.167,69.166,56.466,52.183,1284.45
,,,,,,,,,,,,,,
"[0, 28, 45, 49, 53, 15, 0]","[0, 62, 61, 33, 27, 47, 40, 6, 0]","[0, 17, 0]","[0, 13, 12, 20, 5, 0]","[0, 34, 44, 50, 42, 0]","[0, 55, 0]","[0, 59, 3, 18, 22, 30, 0]","[0, 8, 21, 63, 0]","[0, 26, 67, 66, 19, 31, 57, 0]","[0, 14, 54, 32, 64, 0]","[0, 58, 4, 29, 52, 0]","[0, 51, 39, 0]","[0, 16, 9, 37, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
72.967,134.517,34.784,149.333,109.967,108.483,108.966,150.117,79.382,94.434,79.983,68.35,58.384,52.183,1301.85
,,,,,,,,,,,,,,
"[0, 15, 53, 49, 45, 28, 0]","[0, 62, 6, 61, 40, 47, 27, 33, 0]","[0, 17, 0]","[0, 12, 5, 13, 20, 0]","[0, 34, 42, 44, 50, 0]","[0, 55, 0]","[0, 18, 59, 22, 30, 3, 0]","[0, 63, 8, 21, 0]","[0, 19, 57, 31, 26, 66, 67, 0]","[0, 32, 14, 64, 54, 0]","[0, 4, 52, 58, 29, 0]","[0, 39, 51, 0]","[0, 16, 37, 9, 0]","[0, 35, 69, 0]",
,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
,,,,,,,,,,,,,,
85.784,159.5,34.784,152.449,101.917,108.483,114.833,138.516,76.067,92.884,87.25,69.166,53.233,52.183,1327.049
,,,,,,,,,,,,,,
